번호,설립,학교명,캠퍼스명,학급,학종,지역,조사연도,한달 기숙사비,,,,,,,,,,,,,,,
119,사립,부산가톨릭대학교,본교,대학,일반대학,부산,2022,0.0,164.6,169.9,159.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.6,169.9,159.3
120,국립,부산대학교,본교(부산),대학,일반대학,부산,2022,241.2,150.9,0.0,0.0,385.4,199.3,0.0,0.0,0.0,0.0,0.0,0.0,275.6,187.8,0.0,0.0
121,국립,부산대학교,제4캠퍼스(양산),대학,일반대학,경남,2022,379.8,208.5,0.0,0.0,368.4,204.6,0.0,0.0,0.0,0.0,0.0,0.0,371.4,205.7,0.0,0.0
122,국립,부산대학교,제3캠퍼스(밀양),대학,일반대학,경남,2022,0.0,176.7,0.0,138.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.7,0.0,138.6
123,사립,부산외국어대학교,본교(남산동),대학,일반대학,부산,2022,348.8,207.0,184.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.8,207.0,184.2,0.0
124,사립,부산장신대학교,본교,대학,일반대학,경남,2022,0.0,0.0,0.0,102.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.5
125,사립,삼육대학교,본교,대학,일반대학,서울,2022,548.9,302.5,208.1,169.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.9,302.5,208.1,169.9
126,사립,상명대학교,본교(서울),대학,일반대학,서울,2022,351.3,236.5,181.3,130.7,223.4,223.4,223.4,0.0,0.0,0.0,0.0,0.0,342.2,235.8,212.9,130.7
127,사립,상명대학교,캠퍼스(천안),대학,일반대학,충남,2022,500.4,243.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.4,243.7,0.0,0.0
128,사립,상지대학교,본교(강원원주),대학,일반대학,강원,2022,176.8,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.8,175.0,0.0,0.0
129,사립,서강대학교,본교(서울),대학,일반대학,서울,2022,0.0,213.0,0.0,213.0,0.0,437.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.3,0.0,213.0
130,사립,서경대학교,본교(서울정릉),대학,일반대학,서울,2022,0.0,226.0,0.0,149.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,149.1
131,국립,서울과학기술대학교,본교,대학,일반대학,서울,2022,318.3,325.9,355.1,0.0,418.5,240.3,0.0,244.0,0.0,0.0,0.0,0.0,406.1,263.7,355.1,244.0
132,사립,서울기독대학교,본교(서울은평),대학,일반대학,서울,2022,0.0,92.9,0.0,92.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9,0.0,92.9
133,국립,서울대학교,본교(관악),대학,일반대학,서울,2022,217.7,165.9,0.0,191.1,294.7,209.1,0.0,0.0,0.0,0.0,0.0,0.0,252.3,191.0,0.0,191.1
134,국립,서울대학교,제2캠퍼스(연건),대학,일반대학,서울,2022,357.9,133.4,0.0,537.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.9,133.4,0.0,537.8
135,국립,서울대학교,평창캠퍼스,대학,일반대학,강원,2022,100.8,100.8,0.0,180.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.8,100.8,0.0,180.2
136,사립,서울신학대학교,본교(부천),대학,일반대학,경기,2022,0.0,226.4,171.8,171.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.4,171.8,171.8
137,사립,서울여자대학교,본교(서울),대학,일반대학,서울,2022,379.2,278.2,218.3,238.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.2,278.2,218.3,238.1
138,사립,서울장신대학교,본교(경기광주),대학,일반대학,경기,2022,0.0,174.8,174.8,174.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.8,174.8,174.8
139,사립,서울한영대학교,본교(서울구로),대학,일반대학,서울,2022,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0
140,사립,서원대학교,본교(충북청주),대학,일반대학,충북,2022,267.9,235.7,0.0,117.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.9,235.7,0.0,117.2
141,사립,선문대학교,본교(아산),대학,일반대학,충남,2022,248.3,226.7,200.8,164.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.3,226.7,200.8,164.6
142,사립,선문대학교,캠퍼스(천안),대학,일반대학,충남,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,사립,성결대학교,본교(경기안양),대학,일반대학,경기,2022,206.7,180.2,188.0,159.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.7,180.2,188.0,159.4
144,사립,성공회대학교,본교(서울),대학,일반대학,서울,2022,0.0,262.5,0.0,0.0,259.7,259.7,0.0,0.0,0.0,0.0,0.0,0.0,259.7,260.4,0.0,0.0
145,사립,성균관대학교,인문사회과학캠퍼스,대학,일반대학,서울,2022,558.6,387.6,0.0,0.0,0.0,0.0,0.0,0.0,400.0,307.0,0.0,0.0,541.6,376.4,0.0,0.0
146,사립,성균관대학교,자연과학캠퍼스,대학,일반대학,경기,2022,415.2,253.2,0.0,180.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.2,253.2,0.0,180.3
147,사립,성신여자대학교,본교(서울),대학,일반대학,서울,2022,0.0,258.2,367.7,194.7,0.0,0.0,0.0,0.0,585.7,370.5,388.2,366.7,585.7,356.2,369.7,269.3
148,사립,성신여자대학교,운정그린캠퍼스,대학,일반대학,서울,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.7,271.2,0.0,0.0,392.7,271.2,0.0,0.0
149,사립,세명대학교,본교(제천),대학,일반대학,충북,2022,352.2,201.7,156.5,164.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.2,201.7,156.5,164.7
150,사립,세종대학교,본교(서울),대학,일반대학,서울,2022,213.7,246.2,231.9,221.8,141.1,282.1,0.0,0.0,0.0,0.0,0.0,0.0,198.4,276.1,231.9,221.8
151,사립,세한대학교,당진캠퍼스,대학,일반대학,충남,2022,0.0,274.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.7,0.0,0.0
152,사립,세한대학교,본교(영암),대학,일반대학,전남,2022,432.7,288.5,66.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.7,288.5,66.3,0.0
153,사립,송원대학교,본교,대학,일반대학,광주,2022,0.0,0.0,0.0,0.0,220.9,220.9,0.0,174.8,0.0,0.0,196.9,194.9,220.9,220.9,196.9,183.7
154,사립,수원가톨릭대학교,본교(수원),대학,일반대학,경기,2022,609.1,0.0,0.0,609.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.1,0.0,0.0,609.1
155,사립,수원대학교,본교,대학,일반대학,경기,2022,0.0,295.5,0.0,268.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.5,0.0,268.9
156,사립,숙명여자대학교,본교(서울),대학,일반대학,서울,2022,367.4,286.0,181.3,180.0,0.0,0.0,0.0,0.0,704.3,614.6,448.9,0.0,455.3,318.8,315.1,180.0
157,국립,순천대학교,본교(순천),대학,일반대학,전남,2022,183.6,117.4,0.0,0.0,181.2,170.7,0.0,0.0,0.0,0.0,0.0,0.0,183.5,157.9,0.0,0.0
158,사립,순천향대학교,본교(충남아산),대학,일반대학,충남,2022,141.7,228.8,244.0,143.2,0.0,0.0,0.0,0.0,0.0,0.0,45.7,0.0,141.7,228.8,140.5,143.2
159,사립,숭실대학교,본교(서울상도),대학,일반대학,서울,2022,493.3,245.2,195.0,307.0,559.4,341.7,0.0,274.8,0.0,0.0,0.0,0.0,553.5,332.9,195.0,301.0
160,사립,신경대학교,본교(경기화성),대학,일반대학,경기,2022,0.0,0.0,0.0,158.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.2
161,사립,신라대학교,본교(부산백양),대학,일반대학,부산,2022,271.5,203.7,211.9,154.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.5,203.7,211.9,154.4
162,사립,신한대학교,제1캠퍼스,대학,일반대학,경기,2022,0.0,0.0,0.0,0.0,191.3,0.0,191.3,0.0,0.0,0.0,0.0,0.0,191.3,0.0,191.3,0.0
163,사립,신한대학교,제2캠퍼스,대학,일반대학,경기,2022,0.0,0.0,0.0,114.1,234.6,234.6,0.0,0.0,0.0,0.0,0.0,0.0,234.6,234.6,0.0,114.1
164,사립,아신대학교,본교(양평),대학,일반대학,경기,2022,0.0,0.0,143.1,143.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.1,143.1
165,사립,아주대학교,본교(경기수원),대학,일반대학,경기,2022,390.7,179.6,79.1,143.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.7,179.6,79.1,143.9
166,국립,안동대학교,본교(안동),대학,일반대학,경북,2022,338.5,215.9,0.0,141.0,0.0,195.3,0.0,0.0,0.0,0.0,0.0,0.0,338.5,208.0,0.0,141.0
167,사립,안양대학교,본교(안양),대학,일반대학,경기,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,사립,안양대학교,제2캠퍼스(강화),대학,일반대학,인천,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,사립,연세대학교,본교(신촌),대학,일반대학,서울,2022,626.1,261.8,234.0,0.0,644.1,380.4,0.0,0.0,0.0,0.0,0.0,0.0,639.7,308.7,234.0,0.0
170,사립,연세대학교,분교(원주),대학,일반대학,강원,2022,304.1,294.1,253.4,168.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.1,294.1,253.4,168.3
171,사립,연세대학교,캠퍼스(국제),대학,일반대학,인천,2022,0.0,353.9,232.0,0.0,0.0,353.9,232.0,0.0,0.0,0.0,0.0,0.0,0.0,353.9,232.0,0.0
172,사립,연세대학교,캠퍼스(일산),대학,일반대학,강원,2022,308.2,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.2,231.0,0.0,0.0
173,사립,영남대학교,본교(경북경산),대학,일반대학,경북,2022,0.0,248.1,97.8,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.1,97.8,213.0
174,사립,영남대학교,제2캠퍼스(대명동),대학,일반대학,대구,2022,341.6,341.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.6,341.6,0.0,0.0
175,사립,영남신학대학교,본교(경산),대학,일반대학,경북,2022,0.0,107.7,126.8,126.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.7,126.8,126.8
176,사립,영산대학교,본교(양산),대학,일반대학,경남,2022,263.4,224.6,162.7,114.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.4,224.6,162.7,114.7
177,사립,영산대학교,제2캠퍼스(부산),대학,일반대학,부산,2022,225.7,236.4,0.0,126.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.7,236.4,0.0,126.3
178,사립,영산선학대학교,본교(영광),대학,일반대학,전남,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,사립,예수대학교,본교(전주),대학,일반대학,전북,2022,0.0,166.8,145.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.8,145.1,0.0
180,사립,예원예술대학교,본교(임실),대학,일반대학,전북,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,사립,예원예술대학교,제2캠퍼스(양주),대학,일반대학,경기,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.8,269.6,0.0,0.0,283.8,269.6,0.0
182,사립,용인대학교,본교(용인),대학,일반대학,경기,2022,0.0,216.6,157.9,157.9,0.0,0.0,0.0,0.0,0.0,284.3,0.0,0.0,0.0,251.1,157.9,157.9
183,사립,우석대학교,본교(완주),대학,일반대학,전북,2022,285.1,170.7,168.9,116.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.1,170.7,168.9,116.9
184,사립,우석대학교,진천캠퍼스,대학,일반대학,충북,2022,0.0,225.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.7,0.0,0.0
185,사립,우송대학교,본교(대전),대학,일반대학,대전,2022,195.0,163.5,180.0,125.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,163.5,180.0,125.8
186,사립,울산대학교,본교(울산),대학,일반대학,울산,2022,212.7,203.4,212.7,127.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.7,203.4,212.7,127.9
187,사립,울산대학교,산단캠퍼스,대학,일반대학,울산,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,사립,원광대학교,본교(익산),대학,일반대학,전북,2022,195.0,195.0,195.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,195.0,195.0,195.0
189,사립,위덕대학교,본교(경북경주),대학,일반대학,경북,2022,0.0,0.0,116.2,116.2,0.0,0.0,0.0,0.0,0.0,0.0,74.0,55.5,0.0,0.0,92.3,114.0
190,사립,유원대학교,본교,대학,일반대학,충북,2022,0.0,0.0,144.6,144.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.6,144.6
191,사립,유원대학교,아산,대학,일반대학,충남,2022,144.6,136.6,0.0,141.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.6,136.6,0.0,141.7
192,사립,을지대학교,캠퍼스(성남),대학,일반대학,경기,2022,520.4,304.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.4,304.5,0.0,0.0
193,사립,을지대학교,본교(대전),대학,일반대학,대전,2022,267.9,187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.9,187.5,0.0,0.0
194,사립,을지대학교,캠퍼스(의정부),대학,일반대학,경기,2022,515.8,301.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.8,301.8,0.0,0.0
195,사립,이화여자대학교,본교(신촌),대학,일반대학,서울,2022,400.5,300.4,360.1,284.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.5,300.4,360.1,284.3
196,사립,이화여자대학교,캠퍼스(마곡),대학,일반대학,서울,2022,391.5,275.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.5,275.5,0.0,0.0
197,사립,인제대학교,본교(김해),대학,일반대학,경남,2022,203.5,190.8,0.0,117.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.5,190.8,0.0,117.4
198,사립,인제대학교,제2캠퍼스(부산),대학,일반대학,부산,2022,214.3,131.5,140.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.3,131.5,140.2,0.0
199,사립,인천가톨릭대학교,강화캠퍼스,대학,일반대학,인천,2022,390.8,390.8,0.0,383.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.8,390.8,0.0,383.7
200,사립,인천가톨릭대학교,송도캠퍼스,대학,일반대학,인천,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,국립,인천대학교,본교,대학,일반대학,인천,2022,0.0,200.0,0.0,121.1,0.0,210.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.8,0.0,121.1
202,사립,인하대학교,본교(미추홀구),대학,일반대학,인천,2022,0.0,303.8,331.1,179.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.8,331.1,179.4
203,사립,장로회신학대학교,본교(서울),대학,일반대학,서울,2022,0.0,243.9,0.0,194.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.9,0.0,194.7
204,국립,전남대학교,본교(광주),대학,일반대학,광주,2022,261.5,137.8,0.0,0.0,395.0,160.6,0.0,0.0,0.0,0.0,0.0,0.0,299.1,156.6,0.0,0.0
205,국립,전남대학교,제2캠퍼스(여수),대학,일반대학,전남,2022,0.0,157.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.6,0.0,0.0
206,국립,전북대학교,본교(전주덕진),대학,일반대학,전북,2022,129.9,129.9,0.0,0.0,222.3,154.2,0.0,105.3,0.0,0.0,0.0,0.0,210.5,150.0,0.0,105.3
207,국립,전북대학교,산단캠퍼스,대학,일반대학,전북,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,국립,전북대학교,제2캠퍼스(익산),대학,일반대학,전북,2022,166.8,148.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.8,148.6,0.0,0.0
209,사립,전주대학교,본교,대학,일반대학,전북,2022,0.0,201.3,0.0,217.7,450.7,304.8,0.0,228.6,0.0,0.0,0.0,0.0,450.7,245.9,0.0,225.2
210,사립,제주국제대학교,본교(제주),대학,일반대학,제주,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,국립,제주대학교,본교(아라),대학,일반대학,제주,2022,0.0,0.0,0.0,0.0,357.6,201.0,0.0,0.0,345.8,157.4,0.0,0.0,354.2,201.0,0.0,0.0
212,국립,제주대학교,제2캠퍼스(사라),대학,일반대학,제주,2022,0.0,154.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.2,0.0,0.0
213,사립,조선대학교,본교,대학,일반대학,광주,2022,151.0,189.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,151.0,189.9,0.0,0.0
214,사립,조선대학교,산단캠퍼스,대학,일반대학,광주,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,사립,중부대학교,국제캠퍼스(충청),대학,일반대학,충남,2022,0.0,191.4,0.0,191.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.4,0.0,191.4
216,사립,중부대학교,창의캠퍼스(고양),대학,일반대학,경기,2022,371.4,371.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.4,371.4,0.0,0.0
217,사립,중앙대학교,본교(서울),대학,일반대학,서울,2022,364.6,342.9,0.0,242.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.6,342.9,0.0,242.7
218,사립,중앙대학교,캠퍼스(안성),대학,일반대학,경기,2022,301.3,224.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.3,224.4,0.0,0.0
219,사립,중앙승가대학교,본교(경기김포),대학,일반대학,경기,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,사립,중원대학교,본교(충북),대학,일반대학,충북,2022,0.0,349.4,326.0,289.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.4,326.0,289.9
221,사립,차의과학대학교,본교(경기),대학,일반대학,경기,2022,653.3,367.6,0.0,284.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.3,367.6,0.0,284.3
222,사립,창신대학교,본교,대학,일반대학,경남,2022,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0
223,국립,창원대학교,본교(창원),대학,일반대학,경남,2022,0.0,118.5,0.0,0.0,0.0,172.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.1,0.0,0.0
224,사립,청주대학교,본교(우암),대학,일반대학,충북,2022,442.7,203.7,0.0,156.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.7,203.7,0.0,156.8
225,사립,청주대학교,산단캠퍼스,대학,일반대학,충북,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,사립,초당대학교,본교(전남무안),대학,일반대학,전남,2022,0.0,182.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.7,0.0,0.0
227,사립,총신대학교,본교(사당),대학,일반대학,서울,2022,0.0,155.5,155.5,155.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.5,155.5,155.5
228,사립,총신대학교,제2캠퍼스(양지),대학,일반대학,경기,2022,0.0,0.0,0.0,124.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.1
229,사립,추계예술대학교,본교(서울),대학,일반대학,서울,2022,0.0,600.0,0.0,450.0,0.0,0.0,0.0,0.0,480.0,306.3,0.0,0.0,480.0,486.3,0.0,450.0
230,국립,충남대학교,본교(대전유성),대학,일반대학,대전,2022,323.7,198.3,147.9,0.0,346.9,191.6,0.0,0.0,0.0,0.0,0.0,0.0,344.6,193.7,147.9,0.0
231,국립,충북대학교,본교(충북개신),대학,일반대학,충북,2022,0.0,151.6,0.0,0.0,153.7,146.6,0.0,153.7,0.0,0.0,0.0,0.0,153.7,148.0,0.0,153.7
232,국립,충북대학교,산단캠퍼스,대학,일반대학,충북,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,사립,칼빈대학교,본교(용인),대학,일반대학,경기,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,사립,케이씨대학교,본교(서울),대학,일반대학,서울,2022,0.0,0.0,162.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5,0.0,0.0,162.5,112.5
235,사립,평택대학교,본교(경기평택),대학,일반대학,경기,2022,368.2,226.7,0.0,153.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.2,226.7,0.0,153.5
